Year,Location,State/Local Government,Non-Profit,For-Profit,Total
2014,Alabama,1.6,0.8,0.8,3.1
2014,Alaska,0.3,1.6,0.3,2.2
2014,Arizona,0.1,1.5,0.4,2
2014,Arkansas,0.3,2.1,0.7,3.1
2014,California,0.3,1.2,0.3,1.8
2014,Colorado,0.4,1.2,0.4,2
2014,Connecticut,0.1,2.1,0,2.2
2014,Delaware,N/A,2.2,0,2.2
2014,District of Columbia,N/A,4.4,0.9,5.4
2014,Florida,0.4,1.3,1,2.7
2014,Georgia,0.4,1.6,0.4,2.4
2014,Hawaii,0.7,1.3,N/A,2
2014,Idaho,0.5,1.1,0.4,2
2014,Illinois,0.1,2.1,0.2,2.5
2014,Indiana,0.5,1.8,0.3,2.6
2014,Iowa,0.9,2.2,0.1,3.1
2014,Kansas,1.2,1.6,0.6,3.5
2014,Kentucky,0.4,2.4,0.4,3.2
2014,Louisiana,0.9,1.6,0.7,3.2
2014,Maine,0.1,2.4,0.1,2.5
2014,Maryland,N/A,2,0,2
2014,Massachusetts,0.1,1.9,0.4,2.4
2014,Michigan,0.1,2.1,0.3,2.5
2014,Minnesota,0.4,2.3,N/A,2.7
2014,Mississippi,1.8,1.4,0.9,4.2
2014,Missouri,0.4,2.2,0.5,3.1
2014,Montana,0.3,3.2,0,3.6
2014,Nebraska,0.7,2.8,0.1,3.6
2014,Nevada,0.2,0.6,1.2,2
2014,New Hampshire,N/A,1.8,0.3,2.1
2014,New Jersey,0,2,0.3,2.3
2014,New Mexico,0.3,0.7,0.8,1.8
2014,New York,0.5,2.3,N/A,2.8
2014,North Carolina,0.6,1.4,0.2,2.2
2014,North Dakota,N/A,4.2,0.1,4.3
2014,Ohio,0.2,2.5,0.2,2.9
2014,Oklahoma,0.6,1.3,1,2.9
2014,Oregon,0.2,1.4,0.1,1.7
2014,Pennsylvania,0,2.5,0.5,3
2014,Rhode Island,N/A,2,0.1,2.1
2014,South Carolina,0.7,1.1,0.7,2.5
2014,South Dakota,0.2,4.4,0.2,4.8
2014,Tennessee,0.5,1.6,1,3.1
2014,Texas,0.3,1,0.9,2.3
2014,Utah,0.2,1,0.6,1.8
2014,Vermont,N/A,1.9,N/A,1.9
2014,Virginia,0.2,1.5,0.4,2.2
2014,Washington,0.4,1.1,0.2,1.7
2014,West Virginia,0.3,2.7,0.7,3.7
2014,Wisconsin,0,2.1,0.1,2.2
2014,Wyoming,2.3,0.7,0.2,3.1
