Year,Location,State/Local Government,Non-Profit,For-Profit,Total
2011,Alabama,1.5,0.9,0.9,3.2
2011,Alaska,0.3,1.6,0.3,2.1
2011,Arizona,0.1,1.6,0.3,2.1
2011,Arkansas,0.3,2.1,0.8,3.2
2011,California,0.3,1.2,0.3,1.9
2011,Colorado,0.4,1.1,0.4,2
2011,Connecticut,0,2.1,0,2.2
2011,Delaware,N/A,2.3,0,2.4
2011,District of Columbia,0.6,4.3,1,5.9
2011,Florida,0.5,1.3,1,2.8
2011,Georgia,0.6,1.6,0.4,2.6
2011,Hawaii,0.5,1.4,N/A,1.9
2011,Idaho,0.6,1.1,0.4,2.1
2011,Illinois,0.1,2.2,0.2,2.5
2011,Indiana,0.4,1.9,0.3,2.7
2011,Iowa,1,2.3,0,3.3
2011,Kansas,1.2,1.8,0.5,3.5
2011,Kentucky,0.4,2.4,0.4,3.2
2011,Louisiana,1,1.6,0.7,3.4
2011,Maine,0.1,2.6,0.1,2.7
2011,Maryland,N/A,2,0.1,2
2011,Massachusetts,0,2.1,0.3,2.4
2011,Michigan,0.1,2.2,0.2,2.6
2011,Minnesota,0.5,2.3,0,2.8
2011,Mississippi,1.8,1.5,1,4.3
2011,Missouri,0.5,2.2,0.4,3.1
2011,Montana,0.4,3.2,0,3.6
2011,Nebraska,0.8,2.6,0.2,3.6
2011,Nevada,0.2,0.7,1.1,2
2011,New Hampshire,N/A,1.8,0.3,2.2
2011,New Jersey,0.1,2.1,0.2,2.3
2011,New Mexico,0.4,0.8,0.8,2
2011,New York,0.5,2.4,N/A,3
2011,North Carolina,0.7,1.6,0.1,2.4
2011,North Dakota,N/A,4.5,0.1,4.6
2011,Ohio,0.3,2.5,0.2,2.9
2011,Oklahoma,0.7,1.3,1,3
2011,Oregon,0.3,1.4,0.1,1.8
2011,Pennsylvania,0,2.7,0.4,3.1
2011,Rhode Island,N/A,2.3,N/A,2.3
2011,South Carolina,0.7,1.2,0.7,2.6
2011,South Dakota,0.3,4.5,0.2,5
2011,Tennessee,0.5,1.6,1.1,3.1
2011,Texas,0.4,1.1,0.9,2.4
2011,Utah,0.2,1,0.6,1.8
2011,Vermont,N/A,1.9,N/A,1.9
2011,Virginia,0.2,1.6,0.4,2.2
2011,Washington,0.4,1.2,0.1,1.7
2011,West Virginia,0.3,3,0.7,4
2011,Wisconsin,0,2.2,0,2.3
2011,Wyoming,2.4,0.7,0.3,3.5
