Year,Location,State/Local Government,Non-Profit,For-Profit,Total
2015,Alabama,1.5,0.6,0.9,3
2015,Alaska,0.3,1.5,0.4,2.2
2015,Arizona,0.1,1.5,0.4,2
2015,Arkansas,0.3,2.2,0.7,3.2
2015,California,0.3,1.2,0.3,1.8
2015,Colorado,0.3,1.2,0.4,1.9
2015,Connecticut,0.1,2,0,2.1
2015,Delaware,N/A,2.2,0,2.2
2015,District of Columbia,N/A,4.4,1,5.3
2015,Florida,0.4,1.2,0.9,2.6
2015,Georgia,0.5,1.6,0.3,2.4
2015,Hawaii,0.6,1.3,N/A,1.9
2015,Idaho,0.5,1.1,0.4,2
2015,Illinois,0.2,2.1,0.2,2.5
2015,Indiana,0.5,1.8,0.4,2.6
2015,Iowa,0.9,2.1,0.1,3.1
2015,Kansas,1.2,1.6,0.6,3.4
2015,Kentucky,0.4,2.4,0.4,3.2
2015,Louisiana,0.8,1.7,0.6,3
2015,Maine,0.1,2.5,0.1,2.6
2015,Maryland,N/A,2,0,2
2015,Massachusetts,0.1,1.9,0.4,2.3
2015,Michigan,0.1,2.1,0.2,2.5
2015,Minnesota,0.4,2.2,N/A,2.6
2015,Mississippi,1.7,1.4,1,4.1
2015,Missouri,0.4,2.2,0.4,3.1
2015,Montana,0.3,3.1,0.2,3.7
2015,Nebraska,0.6,2.8,0.1,3.5
2015,Nevada,0.2,0.6,1.1,1.9
2015,New Hampshire,N/A,1.8,0.3,2.1
2015,New Jersey,0.1,2,0.3,2.3
2015,New Mexico,0.3,0.7,0.8,1.9
2015,New York,0.5,2.2,N/A,2.7
2015,North Carolina,0.6,1.4,0.2,2.2
2015,North Dakota,N/A,4.1,0.1,4.2
2015,Ohio,0.2,2.5,0.2,2.9
2015,Oklahoma,0.6,1.3,1,2.8
2015,Oregon,0.2,1.4,0.1,1.7
2015,Pennsylvania,0,2.4,0.5,2.9
2015,Rhode Island,N/A,2,0.1,2.2
2015,South Carolina,0.7,1.1,0.7,2.5
2015,South Dakota,0.2,4.3,0.2,4.7
2015,Tennessee,0.5,1.6,1,3
2015,Texas,0.4,1,0.9,2.3
2015,Utah,0.3,1,0.6,1.8
2015,Vermont,N/A,1.9,N/A,1.9
2015,Virginia,0.2,1.5,0.4,2.1
2015,Washington,0.4,1.1,0.2,1.7
2015,West Virginia,0.3,2.7,0.7,3.7
2015,Wisconsin,0,2.1,0.1,2.2
2015,Wyoming,2.2,0.7,0.2,3.1
