"Title: Hospital Beds per 1,000 Population by Ownership Type | KFF"
"Timeframe: 2014"
"Location","State/Local Government","Non-Profit","For-Profit","Total"
"Alabama","1.6","0.8","0.8","3.1"
"Alaska","0.3","1.6","0.3","2.2"
"Arizona","0.1","1.5","0.4","2"
"Arkansas","0.3","2.1","0.7","3.1"
"California","0.3","1.2","0.3","1.8"
"Colorado","0.4","1.2","0.4","2"
"Connecticut","0.1","2.1","0","2.2"
"Delaware","N/A","2.2","0","2.2"
"District of Columbia","N/A","4.4","0.9","5.4"
"Florida","0.4","1.3","1","2.7"
"Georgia","0.4","1.6","0.4","2.4"
"Hawaii","0.7","1.3","N/A","2"
"Idaho","0.5","1.1","0.4","2"
"Illinois","0.1","2.1","0.2","2.5"
"Indiana","0.5","1.8","0.3","2.6"
"Iowa","0.9","2.2","0.1","3.1"
"Kansas","1.2","1.6","0.6","3.5"
"Kentucky","0.4","2.4","0.4","3.2"
"Louisiana","0.9","1.6","0.7","3.2"
"Maine","0.1","2.4","0.1","2.5"
"Maryland","N/A","2","0","2"
"Massachusetts","0.1","1.9","0.4","2.4"
"Michigan","0.1","2.1","0.3","2.5"
"Minnesota","0.4","2.3","N/A","2.7"
"Mississippi","1.8","1.4","0.9","4.2"
"Missouri","0.4","2.2","0.5","3.1"
"Montana","0.3","3.2","0","3.6"
"Nebraska","0.7","2.8","0.1","3.6"
"Nevada","0.2","0.6","1.2","2"
"New Hampshire","N/A","1.8","0.3","2.1"
"New Jersey","0","2","0.3","2.3"
"New Mexico","0.3","0.7","0.8","1.8"
"New York","0.5","2.3","N/A","2.8"
"North Carolina","0.6","1.4","0.2","2.2"
"North Dakota","N/A","4.2","0.1","4.3"
"Ohio","0.2","2.5","0.2","2.9"
"Oklahoma","0.6","1.3","1","2.9"
"Oregon","0.2","1.4","0.1","1.7"
"Pennsylvania","0","2.5","0.5","3"
"Rhode Island","N/A","2","0.1","2.1"
"South Carolina","0.7","1.1","0.7","2.5"
"South Dakota","0.2","4.4","0.2","4.8"
"Tennessee","0.5","1.6","1","3.1"
"Texas","0.3","1","0.9","2.3"
"Utah","0.2","1","0.6","1.8"
"Vermont","N/A","1.9","N/A","1.9"
"Virginia","0.2","1.5","0.4","2.2"
"Washington","0.4","1.1","0.2","1.7"
"West Virginia","0.3","2.7","0.7","3.7"
"Wisconsin","0","2.1","0.1","2.2"
"Wyoming","2.3","0.7","0.2","3.1"

"Notes"
"Data include staffed beds for community hospitals, which represent 85% of all hospitals."
""
"Figures may not sum to totals due to rounding."

"Sources"
"1999 - 2018 AHA Annual Survey, Copyright 2019 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2019. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb)."
""
"Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/)."

"Definitions"
"*Community Hospitals:* All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public."
""
"*N/A*: Not applicable when state/local government, non-profit, or for-profit hospitals do not exist in the state."


